Project_ID,Project_Name,Region,Province,Month,Budget,Actual_Spend,KPI_Target,KPI_Actual,Participants,Satisfaction
P00991,Community Health,North,Uttaradit,Apr,1971186,1593524,100,63,1153,3.63
P00992,Elderly Care,North,Uttaradit,Apr,1575609,1228074,100,64,1794,4.24
P00993,Mental Health,North,Uttaradit,Apr,1750963,1715649,100,69,2277,4.06
P00994,Healthy School,North,Uttaradit,Apr,1256119,1146947,100,76,262,4.59
P00995,Food Safety,North,Uttaradit,Apr,1734669,1372943,100,97,913,4.33
P00996,NCD Prevention,North,Uttaradit,Apr,857504,635600,100,98,1726,3.65
P00997,Health Data,North,Uttaradit,Apr,941410,686359,100,65,1891,4.25
P00998,Health Promotion,North,Uttaradit,Apr,1360846,992114,100,66,1439,4.05
P00999,Policy Development,North,Uttaradit,Apr,1704765,1348129,100,100,1104,4.69
P01000,Network Strengthening,North,Uttaradit,Apr,1993782,1934618,100,97,2612,4.12
P01001,Community Health,North,Uttaradit,May,1764330,1652750,100,91,352,3.74
P01002,Elderly Care,North,Uttaradit,May,1620360,1417623,100,60,438,3.99
P01003,Mental Health,North,Uttaradit,May,815094,709703,100,87,461,4.91
P01004,Healthy School,North,Uttaradit,May,733513,699495,100,62,1929,4.51
P01005,Food Safety,North,Uttaradit,May,1124681,1095485,100,78,2684,4.57
P01006,NCD Prevention,North,Uttaradit,May,1813803,1458354,100,86,764,4.03
P01007,Health Data,North,Uttaradit,May,953462,773200,100,68,1943,3.98
P01008,Health Promotion,North,Uttaradit,May,1542487,1166128,100,97,2621,4.58
P01009,Policy Development,North,Uttaradit,May,680701,675338,100,100,1052,4.61
P01010,Network Strengthening,North,Uttaradit,May,1558856,1278264,100,77,2279,4.54
P01011,Community Health,North,Uttaradit,Jun,1880634,1761681,100,83,1049,4.74
P01012,Elderly Care,North,Uttaradit,Jun,1174341,1052465,100,74,1551,4.36
P01013,Mental Health,North,Uttaradit,Jun,1873389,1622621,100,90,755,3.94
P01014,Healthy School,North,Uttaradit,Jun,684426,602266,100,92,1370,4.73
P01015,Food Safety,North,Uttaradit,Jun,1901214,1363143,100,76,2649,4.89
P01016,NCD Prevention,North,Uttaradit,Jun,1240260,937871,100,94,1890,4.54
P01017,Health Data,North,Uttaradit,Jun,1940445,1636858,100,76,245,3.88
P01018,Health Promotion,North,Uttaradit,Jun,1063202,1022777,100,61,610,4.97
P01019,Policy Development,North,Uttaradit,Jun,1425687,1244223,100,97,522,4.57
P01020,Network Strengthening,North,Uttaradit,Jun,702144,601307,100,60,2688,3.53
P01021,Community Health,North,Uttaradit,Jul,829078,766951,100,66,2546,3.76
P01022,Elderly Care,North,Uttaradit,Jul,1361271,1041685,100,88,757,4.54
P01023,Mental Health,North,Uttaradit,Jul,560702,412206,100,80,2035,3.76
P01024,Healthy School,North,Uttaradit,Jul,1087097,834699,100,85,1519,3.9
P01025,Food Safety,North,Uttaradit,Jul,1329827,1042619,100,96,391,4.98
P01026,NCD Prevention,North,Uttaradit,Jul,1485942,1403498,100,66,2239,4.9
P01027,Health Data,North,Uttaradit,Jul,1128337,874733,100,85,639,3.74
P01028,Health Promotion,North,Uttaradit,Jul,1619317,1236540,100,98,483,4.3
P01029,Policy Development,North,Uttaradit,Jul,1014401,987968,100,99,2245,4.72
P01030,Network Strengthening,North,Uttaradit,Jul,1552692,1515060,100,71,943,4.16
P01031,Community Health,North,Uttaradit,Aug,546047,501554,100,97,1795,3.81
P01032,Elderly Care,North,Uttaradit,Aug,1959434,1453008,100,79,1020,4.16
P01033,Mental Health,North,Uttaradit,Aug,682308,638968,100,67,1918,3.92
P01034,Healthy School,North,Uttaradit,Aug,1258998,1091916,100,95,1314,3.92
P01035,Food Safety,North,Uttaradit,Aug,1498311,1200200,100,100,2286,3.87
P01036,NCD Prevention,North,Uttaradit,Aug,1627982,1318523,100,67,1099,4.08
P01037,Health Data,North,Uttaradit,Aug,1651192,1372295,100,62,2981,4.87
P01038,Health Promotion,North,Uttaradit,Aug,1899272,1406766,100,89,2170,3.63
P01039,Policy Development,North,Uttaradit,Aug,536369,418107,100,78,2235,3.86
P01040,Network Strengthening,North,Uttaradit,Aug,1219009,996085,100,76,2059,3.85
P01041,Community Health,North,Uttaradit,Sep,515430,392656,100,71,854,3.61
P01042,Elderly Care,North,Uttaradit,Sep,1237144,1066927,100,83,2348,4.66
P01043,Mental Health,North,Uttaradit,Sep,1541490,1255037,100,97,521,4.37
P01044,Healthy School,North,Uttaradit,Sep,737953,732178,100,98,1100,4.31
P01045,Food Safety,North,Uttaradit,Sep,529006,522614,100,84,2176,3.72
P01046,NCD Prevention,North,Uttaradit,Sep,1499315,1335192,100,76,1957,3.83
P01047,Health Data,North,Uttaradit,Sep,1358099,999642,100,80,2099,3.58
P01048,Health Promotion,North,Uttaradit,Sep,911126,898567,100,79,300,3.75
P01049,Policy Development,North,Uttaradit,Sep,843600,797249,100,94,2831,4.02
P01050,Network Strengthening,North,Uttaradit,Sep,807362,732162,100,80,2199,4.07
P01051,Community Health,North,Uttaradit,Oct,1222770,1082849,100,98,2260,4.67
P01052,Elderly Care,North,Uttaradit,Oct,1419429,1354940,100,75,2289,3.67
P01053,Mental Health,North,Uttaradit,Oct,1236858,1022750,100,84,622,4.74
P01054,Healthy School,North,Uttaradit,Oct,1870094,1698149,100,86,2545,4.43
P01055,Food Safety,North,Uttaradit,Oct,689682,582602,100,74,1987,4.33
P01056,NCD Prevention,North,Uttaradit,Oct,890596,717821,100,98,1573,3.53
P01057,Health Data,North,Uttaradit,Oct,1138675,1117448,100,96,2362,4.2
P01058,Health Promotion,North,Uttaradit,Oct,985228,887284,100,62,2111,4.74
P01059,Policy Development,North,Uttaradit,Oct,766566,582366,100,81,1887,3.67
P01060,Network Strengthening,North,Uttaradit,Oct,833670,812432,100,87,758,4.01
P01061,Community Health,North,Uttaradit,Nov,1820956,1359150,100,91,2467,3.73
P01062,Elderly Care,North,Uttaradit,Nov,1840698,1317340,100,80,2616,4.7
P01063,Mental Health,North,Uttaradit,Nov,1111233,870527,100,90,234,3.9
P01064,Healthy School,North,Uttaradit,Nov,1720014,1484101,100,75,2541,3.71
P01065,Food Safety,North,Uttaradit,Nov,1335493,1044030,100,87,998,4.76
P01066,NCD Prevention,North,Uttaradit,Nov,984637,717860,100,77,2505,4.56
P01067,Health Data,North,Uttaradit,Nov,1342870,1039908,100,97,1342,4.15
P01068,Health Promotion,North,Uttaradit,Nov,1333240,1212667,100,62,1148,4.0
P01069,Policy Development,North,Uttaradit,Nov,1940809,1742373,100,81,1512,4.6
P01070,Network Strengthening,North,Uttaradit,Nov,1569878,1488555,100,91,2036,4.75
P01071,Community Health,North,Uttaradit,Dec,1657890,1475903,100,80,591,3.92
P01072,Elderly Care,North,Uttaradit,Dec,1441681,1362006,100,66,1630,3.99
P01073,Mental Health,North,Uttaradit,Dec,1587198,1513561,100,86,1731,3.56
P01074,Healthy School,North,Uttaradit,Dec,1075023,814500,100,86,2057,4.2
P01075,Food Safety,North,Uttaradit,Dec,1051115,1034771,100,62,2122,3.8
P01076,NCD Prevention,North,Uttaradit,Dec,1709365,1398798,100,93,2189,4.74
P01077,Health Data,North,Uttaradit,Dec,1669703,1337022,100,62,1004,3.55
P01078,Health Promotion,North,Uttaradit,Dec,1269946,911766,100,87,2833,4.29
P01079,Policy Development,North,Uttaradit,Dec,1812618,1425167,100,96,2147,4.18
P01080,Network Strengthening,North,Uttaradit,Dec,1142261,1057060,100,74,662,3.73
P01081,Community Health,North,Tak,Jan,1143376,895130,100,92,2248,3.62
P01082,Elderly Care,North,Tak,Jan,776400,675264,100,73,970,3.81
P01083,Mental Health,North,Tak,Jan,1355724,959607,100,77,329,4.45
P01084,Healthy School,North,Tak,Jan,1824934,1516820,100,62,1153,4.57
P01085,Food Safety,North,Tak,Jan,1268996,1017415,100,78,1369,4.88
P01086,NCD Prevention,North,Tak,Jan,1790817,1671786,100,61,452,4.61
P01087,Health Data,North,Tak,Jan,1967807,1480301,100,63,2903,3.71
P01088,Health Promotion,North,Tak,Jan,1459016,1220264,100,70,2685,3.64
P01089,Policy Development,North,Tak,Jan,1575656,1119079,100,66,2344,4.14
P01090,Network Strengthening,North,Tak,Jan,1738874,1288338,100,88,452,4.97
P01091,Community Health,North,Tak,Feb,1440330,1234212,100,82,253,4.29
P01092,Elderly Care,North,Tak,Feb,662189,602137,100,68,2892,4.09
P01093,Mental Health,North,Tak,Feb,1890367,1703905,100,79,2068,3.7
P01094,Healthy School,North,Tak,Feb,610577,473967,100,71,1472,4.71
P01095,Food Safety,North,Tak,Feb,1158884,896187,100,79,993,3.79
P01096,NCD Prevention,North,Tak,Feb,1011894,827538,100,74,1279,4.78
P01097,Health Data,North,Tak,Feb,536480,426296,100,88,1126,4.3
P01098,Health Promotion,North,Tak,Feb,1960119,1807294,100,86,981,4.5
P01099,Policy Development,North,Tak,Feb,1243176,1130337,100,88,1548,4.66
P01100,Network Strengthening,North,Tak,Feb,521897,452153,100,87,306,4.79
P01101,Community Health,North,Tak,Mar,1327735,1322597,100,88,2507,4.46
P01102,Elderly Care,North,Tak,Mar,1742001,1426270,100,81,991,4.73
P01103,Mental Health,North,Tak,Mar,519994,372375,100,65,400,4.92
P01104,Healthy School,North,Tak,Mar,692618,554869,100,97,695,4.17
P01105,Food Safety,North,Tak,Mar,1851004,1506860,100,62,1432,3.92
P01106,NCD Prevention,North,Tak,Mar,1186383,1159340,100,65,171,4.01
P01107,Health Data,North,Tak,Mar,572115,545231,100,78,2561,4.74
P01108,Health Promotion,North,Tak,Mar,688194,495968,100,91,2943,4.69
P01109,Policy Development,North,Tak,Mar,1364020,1040487,100,84,830,3.77
P01110,Network Strengthening,North,Tak,Mar,1158117,1109194,100,80,2621,3.93
P01111,Community Health,North,Tak,Apr,649359,484085,100,85,177,4.07
P01112,Elderly Care,North,Tak,Apr,927819,774521,100,87,926,3.66
P01113,Mental Health,North,Tak,Apr,640209,539262,100,99,824,4.55
P01114,Healthy School,North,Tak,Apr,1111230,933266,100,77,2237,4.16
P01115,Food Safety,North,Tak,Apr,1605623,1473944,100,91,2906,4.87
P01116,NCD Prevention,North,Tak,Apr,1308639,1253204,100,87,2373,3.64
P01117,Health Data,North,Tak,Apr,1682267,1526218,100,80,698,3.84
P01118,Health Promotion,North,Tak,Apr,856477,811271,100,70,961,4.05
P01119,Policy Development,North,Tak,Apr,1093278,1024011,100,86,2012,4.48
P01120,Network Strengthening,North,Tak,Apr,1319754,945348,100,97,2284,4.5
P01121,Community Health,North,Tak,May,902338,642524,100,61,2021,4.39
P01122,Elderly Care,North,Tak,May,1374344,1196539,100,87,1269,3.85
P01123,Mental Health,North,Tak,May,814931,611120,100,97,1306,4.3
P01124,Healthy School,North,Tak,May,593169,564092,100,60,2069,3.5
P01125,Food Safety,North,Tak,May,1495767,1057597,100,63,2458,4.96
P01126,NCD Prevention,North,Tak,May,1916966,1403589,100,66,1420,4.72
P01127,Health Data,North,Tak,May,575351,403022,100,96,1797,4.37
P01128,Health Promotion,North,Tak,May,1556127,1124638,100,76,2123,3.66
P01129,Policy Development,North,Tak,May,647639,581617,100,99,2368,3.95
P01130,Network Strengthening,North,Tak,May,1846717,1721241,100,93,2417,4.1
P01131,Community Health,North,Tak,Jun,812846,784672,100,95,2763,3.64
P01132,Elderly Care,North,Tak,Jun,1120914,1063706,100,68,543,3.86
P01133,Mental Health,North,Tak,Jun,1092449,1077170,100,84,2916,4.67
P01134,Healthy School,North,Tak,Jun,804034,630462,100,65,265,4.66
P01135,Food Safety,North,Tak,Jun,1274527,933761,100,67,890,4.2
P01136,NCD Prevention,North,Tak,Jun,1473385,1420258,100,74,180,4.39
P01137,Health Data,North,Tak,Jun,1917026,1804288,100,63,219,4.04
P01138,Health Promotion,North,Tak,Jun,856183,770893,100,70,1222,4.39
P01139,Policy Development,North,Tak,Jun,1384434,1171932,100,60,658,4.31
P01140,Network Strengthening,North,Tak,Jun,1240922,871778,100,83,925,3.6
P01141,Community Health,North,Tak,Jul,1190342,861714,100,97,646,4.65
P01142,Elderly Care,North,Tak,Jul,1672482,1574446,100,81,713,4.75
P01143,Mental Health,North,Tak,Jul,700575,625664,100,72,1716,4.19
P01144,Healthy School,North,Tak,Jul,951099,870260,100,73,1940,4.99
P01145,Food Safety,North,Tak,Jul,1870786,1797577,100,87,480,3.87
P01146,NCD Prevention,North,Tak,Jul,1635419,1564711,100,64,1784,4.64
P01147,Health Data,North,Tak,Jul,1764278,1703115,100,90,870,3.55
P01148,Health Promotion,North,Tak,Jul,1592236,1441985,100,92,440,4.54
P01149,Policy Development,North,Tak,Jul,1953063,1462588,100,86,867,3.68
P01150,Network Strengthening,North,Tak,Jul,578668,416991,100,73,2333,3.83
P01151,Community Health,North,Tak,Aug,1228599,1007576,100,70,2061,4.25
P01152,Elderly Care,North,Tak,Aug,1794446,1474744,100,81,1273,4.25
P01153,Mental Health,North,Tak,Aug,1413717,1208372,100,80,2980,4.83
P01154,Healthy School,North,Tak,Aug,1156585,980196,100,65,2765,4.17
P01155,Food Safety,North,Tak,Aug,1364792,1215228,100,66,950,4.23
P01156,NCD Prevention,North,Tak,Aug,1719227,1603184,100,93,270,3.72
P01157,Health Data,North,Tak,Aug,934671,749936,100,87,2976,4.76
P01158,Health Promotion,North,Tak,Aug,1598483,1386939,100,68,1042,3.7
P01159,Policy Development,North,Tak,Aug,871889,673583,100,98,1680,4.91
P01160,Network Strengthening,North,Tak,Aug,541124,461355,100,94,1684,3.72
P01161,Community Health,North,Tak,Sep,1374521,1334274,100,73,491,5.0
P01162,Elderly Care,North,Tak,Sep,1561975,1561765,100,90,1712,3.87
P01163,Mental Health,North,Tak,Sep,899278,655115,100,86,2701,4.64
P01164,Healthy School,North,Tak,Sep,1942096,1758052,100,95,704,3.67
P01165,Food Safety,North,Tak,Sep,869880,777317,100,79,932,4.26
P01166,NCD Prevention,North,Tak,Sep,1179618,1033429,100,61,1140,4.39
P01167,Health Data,North,Tak,Sep,1257748,1237581,100,77,2043,4.6
P01168,Health Promotion,North,Tak,Sep,1622216,1402527,100,73,2909,3.9
P01169,Policy Development,North,Tak,Sep,1534108,1195953,100,69,292,3.93
P01170,Network Strengthening,North,Tak,Sep,1675112,1233264,100,74,836,4.64
P01171,Community Health,North,Tak,Oct,1957281,1674187,100,97,2045,4.66
P01172,Elderly Care,North,Tak,Oct,1116097,853728,100,72,486,4.83
P01173,Mental Health,North,Tak,Oct,1437750,1176093,100,92,703,4.66
P01174,Healthy School,North,Tak,Oct,1983138,1490547,100,100,1089,4.89
P01175,Food Safety,North,Tak,Oct,1199412,1145728,100,66,688,3.51
P01176,NCD Prevention,North,Tak,Oct,1073165,1016619,100,84,809,4.71
P01177,Health Data,North,Tak,Oct,1027615,917938,100,67,1338,3.96
P01178,Health Promotion,North,Tak,Oct,1016620,932408,100,97,182,3.95
P01179,Policy Development,North,Tak,Oct,1443280,1282369,100,81,2236,3.93
P01180,Network Strengthening,North,Tak,Oct,1603113,1328870,100,81,982,3.75
P01181,Community Health,North,Tak,Nov,655940,650132,100,85,2982,3.78
P01182,Elderly Care,North,Tak,Nov,1565723,1418161,100,81,2320,4.72
P01183,Mental Health,North,Tak,Nov,1663156,1597976,100,94,2687,3.81
P01184,Healthy School,North,Tak,Nov,1282389,1188477,100,73,1505,3.71
P01185,Food Safety,North,Tak,Nov,772868,568668,100,83,1249,4.15
P01186,NCD Prevention,North,Tak,Nov,1411265,1312779,100,76,1081,4.22
P01187,Health Data,North,Tak,Nov,1216941,1204314,100,82,1064,4.24
P01188,Health Promotion,North,Tak,Nov,930079,883403,100,94,1431,4.66
P01189,Policy Development,North,Tak,Nov,1201911,903616,100,70,1697,4.84
P01190,Network Strengthening,North,Tak,Nov,658826,531127,100,88,2124,4.21
P01191,Community Health,North,Tak,Dec,629841,543001,100,69,1642,4.42
P01192,Elderly Care,North,Tak,Dec,1479609,1366708,100,96,697,4.26
P01193,Mental Health,North,Tak,Dec,1627819,1508135,100,98,1397,4.39
P01194,Healthy School,North,Tak,Dec,1304588,1158115,100,76,1108,4.18
P01195,Food Safety,North,Tak,Dec,1827386,1499818,100,74,1528,4.87
P01196,NCD Prevention,North,Tak,Dec,856391,674349,100,90,1880,4.67
P01197,Health Data,North,Tak,Dec,1451233,1274603,100,62,1654,4.24
P01198,Health Promotion,North,Tak,Dec,872564,810468,100,71,400,4.6
P01199,Policy Development,North,Tak,Dec,1490724,1332570,100,83,2092,4.6
P01200,Network Strengthening,North,Tak,Dec,1312593,1041045,100,87,2663,4.91
P01201,Community Health,North,Kamphaeng Phet,Jan,1396014,1261736,100,89,2410,4.55
P01202,Elderly Care,North,Kamphaeng Phet,Jan,1000077,819320,100,92,2509,4.32
P01203,Mental Health,North,Kamphaeng Phet,Jan,667490,563939,100,98,2021,4.81
P01204,Healthy School,North,Kamphaeng Phet,Jan,1999891,1914097,100,99,1726,4.26
P01205,Food Safety,North,Kamphaeng Phet,Jan,603594,499377,100,99,1046,4.55
P01206,NCD Prevention,North,Kamphaeng Phet,Jan,1598320,1429948,100,76,2063,3.9
P01207,Health Data,North,Kamphaeng Phet,Jan,1281663,1029882,100,62,383,4.61
P01208,Health Promotion,North,Kamphaeng Phet,Jan,1439943,1157463,100,97,364,4.07
P01209,Policy Development,North,Kamphaeng Phet,Jan,1145185,920058,100,91,2407,4.78
P01210,Network Strengthening,North,Kamphaeng Phet,Jan,1678052,1672591,100,64,998,3.56
P01211,Community Health,North,Kamphaeng Phet,Feb,1365549,1207893,100,97,1519,3.65
P01212,Elderly Care,North,Kamphaeng Phet,Feb,811754,660678,100,60,270,4.76
P01213,Mental Health,North,Kamphaeng Phet,Feb,1007454,751510,100,64,948,4.43
P01214,Healthy School,North,Kamphaeng Phet,Feb,706098,577671,100,80,2291,4.98
P01215,Food Safety,North,Kamphaeng Phet,Feb,683202,478859,100,60,2432,4.02
P01216,NCD Prevention,North,Kamphaeng Phet,Feb,1314645,1049816,100,88,2407,4.62
P01217,Health Data,North,Kamphaeng Phet,Feb,1657092,1252273,100,71,1451,3.75
P01218,Health Promotion,North,Kamphaeng Phet,Feb,1985619,1832638,100,73,1402,3.92
P01219,Policy Development,North,Kamphaeng Phet,Feb,1393380,1196989,100,93,2115,4.05
P01220,Network Strengthening,North,Kamphaeng Phet,Feb,970433,844265,100,100,2332,3.73
P01221,Community Health,North,Kamphaeng Phet,Mar,1659627,1499932,100,60,2349,4.24
P01222,Elderly Care,North,Kamphaeng Phet,Mar,1407958,1017648,100,89,461,4.84
P01223,Mental Health,North,Kamphaeng Phet,Mar,1384353,1360341,100,83,1793,4.86
P01224,Healthy School,North,Kamphaeng Phet,Mar,1100551,943473,100,96,2334,3.81
P01225,Food Safety,North,Kamphaeng Phet,Mar,1382491,1162518,100,85,2105,3.82
P01226,NCD Prevention,North,Kamphaeng Phet,Mar,1628933,1549094,100,98,2972,4.19
P01227,Health Data,North,Kamphaeng Phet,Mar,925230,756371,100,85,2616,4.86
P01228,Health Promotion,North,Kamphaeng Phet,Mar,1924736,1639003,100,93,1703,4.42
P01229,Policy Development,North,Kamphaeng Phet,Mar,1087217,1045573,100,75,2220,4.02
P01230,Network Strengthening,North,Kamphaeng Phet,Mar,1657328,1367311,100,86,564,4.37
P01231,Community Health,North,Kamphaeng Phet,Apr,1305884,1216174,100,94,2149,4.58
P01232,Elderly Care,North,Kamphaeng Phet,Apr,1419004,1166227,100,89,163,3.68
P01233,Mental Health,North,Kamphaeng Phet,Apr,859911,662651,100,91,854,4.99
P01234,Healthy School,North,Kamphaeng Phet,Apr,917561,863200,100,81,232,4.96
P01235,Food Safety,North,Kamphaeng Phet,Apr,524544,417089,100,98,2634,3.76
P01236,NCD Prevention,North,Kamphaeng Phet,Apr,679338,524611,100,63,1647,4.65
P01237,Health Data,North,Kamphaeng Phet,Apr,1257254,1229265,100,64,664,3.65
P01238,Health Promotion,North,Kamphaeng Phet,Apr,805663,798428,100,76,2536,4.61
P01239,Policy Development,North,Kamphaeng Phet,Apr,1457419,1446418,100,80,2122,3.65
P01240,Network Strengthening,North,Kamphaeng Phet,Apr,652408,619002,100,100,358,4.24
P01241,Community Health,North,Kamphaeng Phet,May,1283262,1057565,100,87,2516,4.35
P01242,Elderly Care,North,Kamphaeng Phet,May,1478707,1306197,100,93,284,4.08
P01243,Mental Health,North,Kamphaeng Phet,May,831644,805629,100,99,2420,3.51
P01244,Healthy School,North,Kamphaeng Phet,May,895058,772909,100,98,2950,3.88
P01245,Food Safety,North,Kamphaeng Phet,May,1333523,1104512,100,74,438,4.94
P01246,NCD Prevention,North,Kamphaeng Phet,May,713482,520697,100,66,2052,4.74
P01247,Health Data,North,Kamphaeng Phet,May,707118,652675,100,90,2241,3.88
P01248,Health Promotion,North,Kamphaeng Phet,May,1921941,1527607,100,79,687,4.28
P01249,Policy Development,North,Kamphaeng Phet,May,1486538,1268586,100,63,1700,4.94
P01250,Network Strengthening,North,Kamphaeng Phet,May,674349,629190,100,83,2941,4.16
P01251,Community Health,North,Kamphaeng Phet,Jun,1253687,943053,100,75,199,4.77
P01252,Elderly Care,North,Kamphaeng Phet,Jun,1696463,1467131,100,70,2473,4.31
P01253,Mental Health,North,Kamphaeng Phet,Jun,995894,911201,100,81,354,4.16
P01254,Healthy School,North,Kamphaeng Phet,Jun,1880817,1857603,100,96,2009,3.61
P01255,Food Safety,North,Kamphaeng Phet,Jun,1344070,1257695,100,63,743,4.6
P01256,NCD Prevention,North,Kamphaeng Phet,Jun,1116461,811734,100,73,1528,4.22
P01257,Health Data,North,Kamphaeng Phet,Jun,1382461,1063711,100,91,563,4.13
P01258,Health Promotion,North,Kamphaeng Phet,Jun,1497278,1121285,100,79,2302,4.91
P01259,Policy Development,North,Kamphaeng Phet,Jun,1750400,1319240,100,80,2552,4.74
P01260,Network Strengthening,North,Kamphaeng Phet,Jun,1892779,1437637,100,76,1235,3.79
P01261,Community Health,North,Kamphaeng Phet,Jul,987388,835874,100,81,1565,4.55
P01262,Elderly Care,North,Kamphaeng Phet,Jul,1656331,1208242,100,96,1933,4.65
P01263,Mental Health,North,Kamphaeng Phet,Jul,1718963,1465382,100,75,1050,3.8
P01264,Healthy School,North,Kamphaeng Phet,Jul,541679,401632,100,65,706,4.54
P01265,Food Safety,North,Kamphaeng Phet,Jul,1143167,1050033,100,62,2547,4.43
P01266,NCD Prevention,North,Kamphaeng Phet,Jul,1381379,1036937,100,100,2860,4.07
P01267,Health Data,North,Kamphaeng Phet,Jul,919178,748748,100,60,939,4.01
P01268,Health Promotion,North,Kamphaeng Phet,Jul,1489609,1207568,100,93,1757,4.12
P01269,Policy Development,North,Kamphaeng Phet,Jul,840272,670898,100,72,1597,4.01
P01270,Network Strengthening,North,Kamphaeng Phet,Jul,639156,459313,100,62,800,4.83
P01271,Community Health,North,Kamphaeng Phet,Aug,1734547,1644986,100,80,2705,4.82
P01272,Elderly Care,North,Kamphaeng Phet,Aug,1501982,1369144,100,87,1039,4.05
P01273,Mental Health,North,Kamphaeng Phet,Aug,1155129,816053,100,60,389,4.41
P01274,Healthy School,North,Kamphaeng Phet,Aug,1870547,1757441,100,95,1593,4.02
P01275,Food Safety,North,Kamphaeng Phet,Aug,558844,526918,100,81,2406,3.71
P01276,NCD Prevention,North,Kamphaeng Phet,Aug,1277276,1276113,100,95,2981,4.56
P01277,Health Data,North,Kamphaeng Phet,Aug,1288430,1095275,100,86,1338,4.75
P01278,Health Promotion,North,Kamphaeng Phet,Aug,1154544,851225,100,81,2211,3.61
P01279,Policy Development,North,Kamphaeng Phet,Aug,1436856,1395426,100,64,2313,3.68
P01280,Network Strengthening,North,Kamphaeng Phet,Aug,724815,719227,100,97,1900,4.99
P01281,Community Health,North,Kamphaeng Phet,Sep,1889375,1458707,100,71,1149,4.16
P01282,Elderly Care,North,Kamphaeng Phet,Sep,1963736,1691538,100,87,2783,4.56
P01283,Mental Health,North,Kamphaeng Phet,Sep,868199,785572,100,74,2927,4.55
P01284,Healthy School,North,Kamphaeng Phet,Sep,1480171,1468714,100,60,2944,3.76
P01285,Food Safety,North,Kamphaeng Phet,Sep,1906068,1519619,100,76,2009,3.86
P01286,NCD Prevention,North,Kamphaeng Phet,Sep,984905,983813,100,79,1646,4.67
P01287,Health Data,North,Kamphaeng Phet,Sep,840123,676123,100,68,2001,3.59
P01288,Health Promotion,North,Kamphaeng Phet,Sep,1112683,822094,100,93,2716,4.38
P01289,Policy Development,North,Kamphaeng Phet,Sep,1127461,1036477,100,95,379,3.73
P01290,Network Strengthening,North,Kamphaeng Phet,Sep,1006221,820180,100,64,2117,4.0
P01291,Community Health,North,Kamphaeng Phet,Oct,944736,869155,100,73,329,3.85
P01292,Elderly Care,North,Kamphaeng Phet,Oct,1057559,1029177,100,68,889,4.86
P01293,Mental Health,North,Kamphaeng Phet,Oct,1124951,886100,100,84,2163,3.69
P01294,Healthy School,North,Kamphaeng Phet,Oct,551404,454355,100,63,2134,3.85
P01295,Food Safety,North,Kamphaeng Phet,Oct,765566,642033,100,86,1418,4.74
P01296,NCD Prevention,North,Kamphaeng Phet,Oct,1385485,1271665,100,72,2679,3.81
P01297,Health Data,North,Kamphaeng Phet,Oct,527934,419841,100,91,1656,3.79
P01298,Health Promotion,North,Kamphaeng Phet,Oct,1188728,1025475,100,63,2483,4.28
P01299,Policy Development,North,Kamphaeng Phet,Oct,685729,564885,100,81,391,4.23
P01300,Network Strengthening,North,Kamphaeng Phet,Oct,524902,377334,100,90,439,4.9
P01301,Community Health,North,Kamphaeng Phet,Nov,696176,502978,100,95,1497,3.93
P01302,Elderly Care,North,Kamphaeng Phet,Nov,1116669,1036876,100,80,387,4.1
P01303,Mental Health,North,Kamphaeng Phet,Nov,1747076,1297127,100,98,1405,3.95
P01304,Healthy School,North,Kamphaeng Phet,Nov,1521256,1276990,100,66,2371,4.05
P01305,Food Safety,North,Kamphaeng Phet,Nov,841109,836616,100,91,2631,4.37
P01306,NCD Prevention,North,Kamphaeng Phet,Nov,642324,507926,100,89,663,3.51
P01307,Health Data,North,Kamphaeng Phet,Nov,699703,637434,100,68,2261,3.55
P01308,Health Promotion,North,Kamphaeng Phet,Nov,887600,707864,100,100,411,4.14
P01309,Policy Development,North,Kamphaeng Phet,Nov,887511,797077,100,63,558,3.99
P01310,Network Strengthening,North,Kamphaeng Phet,Nov,1010318,899200,100,89,768,4.03
P01311,Community Health,North,Kamphaeng Phet,Dec,1839959,1835326,100,85,1159,3.93
P01312,Elderly Care,North,Kamphaeng Phet,Dec,616337,463442,100,84,1021,3.93
P01313,Mental Health,North,Kamphaeng Phet,Dec,971765,781237,100,61,2367,4.65
P01314,Healthy School,North,Kamphaeng Phet,Dec,1922067,1773903,100,83,1914,4.73
P01315,Food Safety,North,Kamphaeng Phet,Dec,1749838,1299397,100,63,207,4.76
P01316,NCD Prevention,North,Kamphaeng Phet,Dec,1244866,1074531,100,62,1092,4.55
P01317,Health Data,North,Kamphaeng Phet,Dec,1216683,976716,100,70,282,3.55
P01318,Health Promotion,North,Kamphaeng Phet,Dec,1840367,1763195,100,76,1123,3.69
P01319,Policy Development,North,Kamphaeng Phet,Dec,1994877,1691405,100,63,1681,4.91
P01320,Network Strengthening,North,Kamphaeng Phet,Dec,528214,508072,100,96,1283,4.16
P01321,Community Health,North,Phitsanulok,Jan,1335479,1065385,100,99,2148,4.62
P01322,Elderly Care,North,Phitsanulok,Jan,870458,767024,100,93,1190,3.86
P01323,Mental Health,North,Phitsanulok,Jan,702141,494379,100,76,2659,4.73
P01324,Healthy School,North,Phitsanulok,Jan,1436809,1232585,100,97,607,3.73
P01325,Food Safety,North,Phitsanulok,Jan,770438,654082,100,69,1050,3.88
